NK_BABKnoten,NK_Name,NK_Knotenpunktfunktion,NK_GeoStrKls,lon,lat,Autobahn_only,Autobahn_all,Bundesstrasse_all,Rest_all
N,BG Dänemark,Bundesgrenze,-B----,8.910178775014757,54.90380642609955,0,0,1,0
N,B5/B199, ,-B----,8.881963758910244,54.80486022416877,0,0,1,0
N,B5/L3, ,-B----,8.883526987897532,54.80608756749109,0,0,1,0
N,B5/L2/L301, ,-BL---,8.906137001647926,54.869346944874486,0,0,1,0
N,B5/L1, ,-BL---,8.907861945273872,54.87224871429984,0,0,1,0
N,B5/L192, ,-B----,8.908437661802843,54.886482592606605,0,0,1,0
N,B5/K84, ,-B----,8.882740475178132,54.805326587873004,0,0,1,0
N,B5/K85, ,-B----,8.890336574590986,54.835612782009775,0,0,1,0
N,B5/K85, ,-B----,8.891035564836969,54.83713890758718,0,0,1,0
J,DK/DE Ellund,Bundesgrenze,A-----,9.327724593009608,54.805886192178356,1,0,0,0
N,BG Dänemark,Bundesgrenze,-B----,9.404432385274879,54.839548311892564,0,0,1,0
N,B200/Gemeindestraße, ,-B----,9.413982222328896,54.83046413925622,0,0,1,0
N,B200/K12, ,-B----,9.416098491486506,54.81764699344197,0,0,1,0
N,B200/L16, ,-BL---,9.409450767660578,54.79846178492755,0,0,1,0
N,B199/K2, ,-B----,9.488514999217493,54.80273194347312,0,0,1,0
N,B199/K92, ,-B----,9.5061190028045,54.80509994119263,0,0,1,0
N,B199/L96, ,-BL---,9.535131004894259,54.80236994749809,0,0,1,0
N,B199/L268, ,-BL---,9.555788248730623,54.80475459556859,0,0,1,0
N,B199/K93, ,-B----,9.59801700481923,54.80334994590887,0,0,1,0
N,B5/K73, ,-B----,8.956820226951114,54.702311432592175,0,0,1,0
N,B5/L5, ,-BL---,8.947846993618901,54.73528594573607,0,0,1,0
N,B5/K88, ,-B----,8.932990438158228,54.73871485415545,0,0,1,0
N,B5/K108, ,-B----,8.912000004417038,54.74836094483629,0,0,1,0
N,B5/L10/K89, ,-BL---,8.875618308082409,54.76157442126783,0,0,1,0
N,B5/K115, ,-B----,8.859384130634766,54.77162280665554,0,0,1,0
N,B5/L7, ,-BL---,8.855676102679446,54.78141520204813,0,0,1,0
N,B5/L8/K89 (Kreisverkehr), ,-BL---,8.856351196019052,54.79146588433878,0,0,1,0
N,B199/L5, ,-B----,8.980142354745613,54.764485477157116,0,0,1,0
N,B199/L300, ,-BL---,8.975908873343485,54.77153753413524,0,0,1,0
N,B199/L212, ,-BL---,8.97450426367784,54.77194859813245,0,0,1,0
N,B199/L246/K115, ,-BL---,8.969117753681296,54.77363605770568,0,0,1,0
N,B199/L4/K103, ,-B----,9.054371999089703,54.741892947093476,0,0,1,0
N,B199/K72, ,-B----,9.103443005426348,54.74801996611444,0,0,1,0
