"latitude","longitude","street","city","zip_code","enterprise","uniform_city_name"
"50.832915","9.573678","Hauptstr. 1","Kirchheim","36275.0","BurgerKing","Kirchheim-Hessen"
"50.976133","11.034127","Anger 61","Erfurt","99084.0","BurgerKing","Erfurt-Thüringen"
"52.537489","13.203299","Carl-Schurz-Str. 37","Berlin","13597.0","BurgerKing","Berlin-Deutschland"
"49.766672","10.47053","Scheinfelderstr. 19","Geiselwind","96160.0","BurgerKing","Geiselwind-Bayern"
"50.89842","10.726604","Rasthof ThÃ¼ringer Tor, SÃ¼dseite","Schwabhausen","99869.0","BurgerKing","Schwabhausen-Thüringen"
"52.151746","14.63388","Werkstr. 2","EisenhÃ¼ttenstadt","15890.0","BurgerKing","Eisenhüttenstadt-Brandenburg"
"53.2391","10.460828","Auf den BlÃ¶cken 4, Gewerbegebiet","LÃ¼neburg","21337.0","BurgerKing","Lüneburg-Niedersachsen"
"48.280752","7.777281","Hauptstr. 203","Kappelâ€“Grafenhausen","77966.0","BurgerKing","Kappel-Grafenhausen-Baden-Württemberg"
"48.226511","7.753102","Breisgauallee 5","Herbolzheim","79336.0","BurgerKing","Herbolzheim-Baden-Württemberg"
"49.716549","11.074073","Bayreuther Str. 8, B470","Forchheim","91301.0","BurgerKing","Forchheim-Bayern"
"50.437231","7.41607","Koblenzer Str. 53â€“55","Andernach","56626.0","BurgerKing","Andernach-Rheinland-Pfalz"
"48.653612","9.460686","Schlierbacher Str. 69","Kirchheim unter Teck","73230.0","BurgerKing","Kirchheim unter Teck-Baden-Württemberg"
"48.203834","9.043729","Ehestetter Weg 22","Albstadt","72458.0","BurgerKing","Albstadt-Baden-Württemberg"
"48.697335","9.688307","Stuttgarter Str. 186","Eislingen an der Fils","73054.0","BurgerKing","Eislingen-Baden-Württemberg"
"54.132967","12.062501","An der Stadtautobahn 69","Rostock","18107.0","BurgerKing","Rostock-Mecklenburg-Vorpommern"
"52.289466","12.464851","Im Gewerbegebiet 2","Wollin","14778.0","BurgerKing","Wollin-Brandenburg"
"51.690464","11.767438","NordstraÃŸe 1","KÃ¶nnern","6420.0","BurgerKing","Könnern-Sachsen-Anhalt"
"50.935527","11.388942","Aralallee 2","Mellingen","99441.0","BurgerKing","Mellingen-Thüringen"
"49.259518","11.458677","Oberes Moos 1","Neumarkt i. d. Opf.","92318.0","BurgerKing","Neumarkt in der Oberpfalz-Bayern"
"49.57563","11.002554","GÃ¼nther-Scharowsky-Str. 2a","Erlangen","91058.0","BurgerKing","Erlangen-Bayern"
"53.291911","10.427715","Borgwardstr. 3","Adendorf","21365.0","BurgerKing","Adendorf-Niedersachsen"
"49.411253","8.33989","Dannstadt-Ost, A61","Schifferstadt","67105.0","BurgerKing","Dannstadt-Schauernheim-Rheinland-Pfalz"
"50.598896","7.433838","Rasthausstr. 10","Neustadt (Wied)","53577.0","BurgerKing","Neustadt-Rheinland-Pfalz"
"50.991514","10.315205","MÃ¼hlhÃ¤user Str. 110, Marktkaufcenter","Eisenach","99817.0","BurgerKing","Eisenach-Thüringen"
"50.974019","11.057322","Weimarische Str. 35","Erfurt","99099.0","BurgerKing","Erfurt-Thüringen"
"52.527172","13.232303","Charlottenburger Chaussee 51â€“55","Berlin","13597.0","BurgerKing","Berlin-Deutschland"
"49.348697","7.173869","Stummplatz 1, Saarpark-Center","Neunkirchen","66538.0","BurgerKing","Neunkirchen-Saarland"
"49.697957","10.854455","Gewerbepark 4","Gremsdorf","91350.0","BurgerKing","Gremsdorf-Bayern"
"49.312613","11.475337","Karl-Schiller-Str. 16","Berg bei Neumarkt i. d. OPf.","92348.0","BurgerKing","Berg bei Neumarkt in der Oberpfalz-Bayern"
"51.811958","8.132901","In der Geist 110a","Oelde","59302.0","BurgerKing","Oelde-Nordrhein-Westfalen"
"51.846262","8.320282","Bielefelder Str. 107","Rheda-WiedenbrÃ¼ck","33378.0","BurgerKing","Rheda-Wiedenbrück-Nordrhein-Westfalen"
"48.350455","8.975299","Stettener Halde 9","Hechingen","72379.0","BurgerKing","Hechingen-Baden-Württemberg"
"48.117468","9.805242","Hubertus-Liebrecht-Str. 46","Biberach an der Riss","88400.0","BurgerKing","Biberach an der Riß-Baden-Württemberg"
"49.346493","9.134957","Neckarelzer Str. 45","Mosbach","74821.0","BurgerKing","Mosbach-Baden-Württemberg"
"54.47865","9.545359","Wittgenstein 9, Autohof Wikingerland","Busdorf bei Schleswig","24866.0","BurgerKing","Busdorf-Schleswig-Holstein"
"49.589339","10.623337","NeustÃ¤dter Str. 54","Diespeck","91456.0","BurgerKing","Diespeck-Bayern"
"50.002423","8.109538","BAR Heidenfahrt-Nord, A60","Heidesheim","55262.0","BurgerKing","Ingelheim am Rhein-Rheinland-Pfalz"
"53.616151","10.003596","Alsterkrugchaussee 333","Hamburg","22297.0","BurgerKing","Hamburg-Deutschland"
"49.643975","8.551741","BAR Lorsch-West, A 67","Lorsch","64653.0","BurgerKing","Lorsch-Hessen"
"48.908738","8.773914","BAR Pforzheim-Ost, Bergstr. 105-1","Niefern-Ã–schelbronn","75223.0","BurgerKing","Niefern-Öschelbronn-Baden-Württemberg"
"48.520913","9.806216","BAR Aichen, A8","Nellingen","89191.0","BurgerKing","Nellingen-Baden-Württemberg"
"53.665296","10.000797","Langenhorner Chaussee 471","Hamburg","22419.0","BurgerKing","Hamburg-Deutschland"
"52.547353","13.310512","Saatwinkler Damm 61 - 64","Berlin","13627.0","BurgerKing","Berlin-Deutschland"
"52.07371","6.996539","WÃ¼llener StraÃŸe 64","Ahaus","48683.0","BurgerKing","Ahaus-Nordrhein-Westfalen"
